Id,Code,Name,Definition,Broader,TopConceptOf
CF-1-2-3,CF.1.2.3,Fatigue,Refers to sleep-related fatigue (in quality; in quantity; at night-time); regardless of the reasons; which is a temporary state that can lead to variations in behaviour or decisions; i.e. deviation; error or violation; e.g. due to missed information; inadequate analysis or unanticipated action. Fatigue is a decreased capacity to perform mental or physical work; with involuntary physiological performance decrements (e.g. hypo-vigilance; micro-sleeps); mood disorders and cognitive impairment; due to inadequate restorative sleep; time of day; length of the waking period; or due to the interaction between the lack of breaks and some characteristics of the activities; etc.,CF-1-2,
CF-1-2-4,CF.1.2.4,Stress,Refers to specific emotions; due to chronic or shocking stimulation and; in its basic meaning; to_any type of change that causes physical; emotional or psychological strain. A common reference situation for stress is when staff (individuals; groups) feel an imbalance between what they are asked to do professionally and the resources they have to do it (time; instructions; skills; support; tools; etc.).,CF-1-2,
CF-1-2-5,CF.1.2.5,Awareness,Refers to both situational awareness and self-awareness. This factor covers the three stages of situational awareness: perception of information; understanding of what is perceived; and projection of how to react on the basis of the perceptions and their understood meaning (including risks). This factor also covers self-awareness: of a person’s own state of mind and health; of a person’s own limitations; of a person’s own past decisions and actions; as well as their past outcomes and (risk of) consequences.,CF-1-2,
CF-1-2-0,CF.1.2.0,Other dynamic staff factors,Any contributing factor falling within the category ‘Dynamic staff factors’; but not covered by any of the sub-categories coded above. A reporting of information in accordance with section 3.3 of Appendix A - Part C shall apply.,CF-1-2,
CF-1-3,CF.1.3,Static situational factors,Lasting characteristics or repetitive elements of a situation that can influence the individuals and the teams or the course of the situation.,CF-1,
CF-1-3-1,CF.1.3.1,Design,Refers to the relative end-user-based approach when designing or changing procedures and instructions; tools and equipment (incl. human-machine/computer interfaces); processes and the levels of automation in them. This requires the definition of the user-experience view and use of what is to be designed or modified; considering tasks allocation; workload fluctuation; interactions between humans to be defined - and with the IT interfaces; anticipated variabilities (deviations; errors; etc.) and their consequences; residual risks left to end-users; levels of autonomy; the remaining purpose of the work when reduced or automated; etc.,CF-1-3,
CF-1-3-2,CF.1.3.2,Instructions,Refers to the directives and regulations from all levels; and the rules; procedures; and instructions produced for a standardised performance of all the tasks (in a broad sense). This includes not only their existence (or not) and availability; but also their quality to enable the work to be carried out properly (e.g. resources defined) while controlling the related risks. This factor also covers the interactions between tasks; and with other processes (e.g. monitoring).,CF-1-3,
CF-1-3-3,CF.1.3.3,Communication Means,Refers both to the communication technical means and tools as well as to the verbal or visual standards and protocols; at all levels of working conditions or degraded situations; and including their influences on (and how they are experienced by) the individuals and teams concerned.,CF-1-3,
CF-1-3-4,CF.1.3.4,Tools,Refers to how the tools and equipment are used and maintained (or calibrated) to support performance; to facilitate the detections of the deviations and their recovery; or reduce their consequences. It covers the adequate planning; working order and maintenance; the availability and suitability of the tools to be used for the planned tasks and actual activities in situ. This also includes the checking of the equipment and devices made available to the staff concerned before and/or after the work is carried out.,CF-1-3,
CF-1-3-5,CF.1.3.5,Context,Refers to the influences the societal and institutional contexts may have on the staff concerned (staff and leaders) and their work situations (incl. projects; resources and budgets; etc.). This covers the influences of the regulation of the sector (national; EU); the influences of the economy; politics; media; and of the societal events (sabotage; terrorism; social climate; security climate; health crisis; etc.).,CF-1-3,
CF-1-3-0,CF.1.3.0,Other static situational factors,Any contributing factor falling within the category ‘Static situational factors’; but not covered by any of the sub-categories coded above. A reporting of information in accordance with section 3.3 of Appendix A - Part C shall apply.,CF-1-3,
CF-1-4,CF.1.4,Static staff factors,Lasting characteristics or repetitive elements in the concerned individuals and teams that can influence the course of the situation or other concerned staff.,CF-1,
CF-1-4-1,CF.1.4.1,Experience,Refers primarily to levels of familiarity with the activities and of specific working conditions (in a broad sense); which also provide implicit knowledge and/or incidental learning. Expertise can sometimes be detrimental; e.g. after introduction of changes or the occurrence of less practiced patterns. Beginners may need years of varied practice before they are comfortable with more difficult or rare cases. Also refers to career paths linked to varied work activities or circumstances or diversified tools; which career paths provide a wider range of practices.,CF-1-4,
CF-1-4-2,CF.1.4.2,Personal,Refers to the psychological and physiological characteristics of the concerned staff; including health. This includes psychological attitudes that influence behaviour at work such as self-confidence; openness to experience; conscientiousness; extraversion; agreeableness; emotional stability. Health criteria can also be linked with aging; physiological needs or evolving characteristics. It also includes the necessary periodic checks and monitoring of the relevant personal characteristics for safety; depending on the person’s responsibilities. ,CF-1-4,
CF-1-4-3,CF.1.4.3,Motivation,Refers to the commitment and adherence of the concerned staff to the company's objectives; values and priorities. It also refers to motivation management; and to the balance between extrinsic (salaries; bonuses; pressure; etc.) and intrinsic (fulfilment; autonomy; challenge; etc.) type of motivation. Specific to safety; it also refers to the task’s important rules and how they make sense; and to the way the organisation manages risks; changes; improvements; and communicates on them.,CF-1-4,
CF-1-4-4,CF.1.4.4,Competencies,Refers to the point at which staff concerned meets the requirements of the roles; activities; responsibilities and situations to be managed; in terms of qualifications and competencies (attitudes; awareness; knowledge; skills; including non-technical skills) as demonstrated during the review sessions; adjustments and periodic checks. Sufficient is not always enough: sometimes assessed out of context; theoretical questions–answers are not sufficiently broad; diverse or practical to prepare for dangerous or rare or unregulated situations.,CF-1-4,
CF-1-4-5,CF.1.4.5,Decision-making,Refers to the capability to make decisions based on information; its interpretation; the context; the nature of the issue to solve: e.g. ability to interpret situations; quality of memory processes; tendency to follow more or less the procedures or to reconsider the competing objectives; ability to be creative; tendency to be of service for others; or ability to interact with others about the decision-making process; etc..,CF-1-4,
CF-1-4-0,CF.1.4.0,Other static staff factors,Any contributing factor falling within the category ‘Static staff factors’; but not covered by any of the sub-categories coded above. A reporting of information in accordance with section 3.3 of Appendix A - Part C shall apply.,CF-1-4,
CF-1-5,CF.1.5,Relational factors,Relational factors between the concerned staff; or between several concerned groups of staff (incl. hierarchy levels); which can influence the course of the situation; or influence the people themselves in their reactions; attitudes; beliefs and perceptions.,CF-1,
CF-1-5-1,CF.1.5.1,Communication,Refers to the message and content of the communication; the way in which the interlocutors understand each other and coordinate to reach an efficient level of communication: it can be between staff members within a team; between teams; with or between contractors; with or between the line manager(s); etc..,CF-1-5,
CF-1-5-2,CF.1.5.2,Relationships,Refers to the management of the power dynamics inherent in any social relationship between people organised in small or larger groups; in particular with issues or influences from: sharing resources; achieving opposing objectives; competing for promotion or career management (with some detrimental effect on individuals and on processes; e.g. hidden agendas or issues; pressure to achieve personal goals). It also refers to the influential relationship to one's own leaders as well as with own collaborators if any.,CF-1-5,
CF-1-5-3,CF.1.5.3,Trust,Refers to the level of (reciprocal) confidence with which the staff concerned (individuals or groups) can rely on colleagues and on management; and on rules; procedures; and also on technical means such as the (partially) automated tools... in order to carry out their tasks; produce an efficient activity; while fully assuming their responsibilities; even when a failure or an improvement area appears or is to be reported or raised; being sure to be treated fairly.,CF-1-5,
CF-1-5-4,CF.1.5.4,Reinforcement,Refers to anything that strengthens (positively or negatively) professional practices; particularly in relation to safety. Taking the example of a given behaviour: positive reinforcement increases its probability of occurrence; negative reinforcement decreases it. This may be through the presence or absence of feedback or examples (especially the feedback or examples given by managers or instructors; intentionally or not). They can also be incentives or promotion; on the contrary; threats of sanctions or of non-promotion. It can even be about the choice of words; of messages; in official or unofficial communications. And it may concern a wide range of behaviours; referring to past variabilities; to habitual or tolerated deviations; to well-known residual risks; to weak or good monitoring or reporting; etc.,CF-1-5,
CF-1-5-5,CF.1.5.5,Involvement,Refers to the consultation and the participation of staff in decision-making processes. It includes the involvement; the inclusion of staff throughout the organisation; for example in projects; actions or meetings. It is about how the organisation involves end-users and their representatives in reviewing or monitoring safety processes and in their continuous improvement.,CF-1-5,
CF-1-5-0,CF.1.5.0,Other relational factors,Any contributing factor falling within the category ‘Relation factors’; but not covered by any of the sub-categories coded above. A reporting of information in accordance with section 3.3 of Appendix A - Part C shall apply.,CF-1-5,
CF-0,CF.0,Other contributing factors,Any other contributing factor not covered by any of the category or sub-categories coded above. A reporting of information in accordance with section 3.3 of Appendix A - Part C shall apply.,,ContributingFactors
