Id,Code,Name,Definition,Broader
C-1-3-3,C.1.3.3,Variation in function 'Formulate work plans',Any variation leading to the non or partial achievement of the goal of producing detailed work plans for the successful completion of the work.,C-1-3
C-1-3-4,C.1.3.4,Variation in function 'Allocate resources',Any variation leading to the non or partial achievement of the goal of ensuring that appropriate resources (people; equipment; materials; plant) are available for the completion of the work that is required.,C-1-3
C-1-3-5,C.1.3.5,Variation in function 'Formal agreement for control of the line',Any variation leading to the non or partial achievement of the goal of transferring the control of the line (i) from the control of the signaller to the engineering function for the purpose of engineering work; (ii) from the engineering function back to the signaller at the completion of the work; to return the railway to operational use.,C-1-3
C-1-3-6,C.1.3.6,Variation in function 'Verify work arrangements',Any variation leading to the non or partial achievement of the goal of exchanging information; in order to establish a shared understanding between different parties on the work arrangements; local circumstances and operational context of the work.,C-1-3
C-1-3-7,C.1.3.7,Variation in function 'Protect work area',Any variation leading to the non or partial achievement of the goal of protecting the work area from trains and power sources in order to maintain safety (through signalling; isolation; physical barriers; or human barriers.,C-1-3
C-1-3-8,C.1.3.8,Variation in function 'Supply of resources to work site’,Any variation leading to the non or partial achievement of the goal of supplying materials; tools; equipment to the site of work; in a timely manner; with minimal interference to the work at the site; other work sites in the vicinity or other train services.,C-1-3
C-1-3-9,C.1.3.9,Variation in function 'Establish safe working environment',Any variation leading to the non or partial achievement of the goal of identifying site related hazards and setting up safe systems of working to minimise the risk of injury to staff and impacts on the operational train service.  ,C-1-3
C-1-3-10,C.1.3.10,"Variation in function 'Using trains, plant and machinery for engineering work'",Any variation leading to the non or partial achievement of the goal of ensuring safe movement of engineering trains; machines and plant on the track; within and outside areas that are protected for work. ,C-1-3
C-1-3-11,C.1.3.11,Variation in function 'Close down site on completion of work',Any variation leading to the non or partial achievement of the goal of preparing the site of work for return to operational use; including all relevant checks on the work and integrity of the railway and removal of all protection in readiness for transfer of the site back to the control of operational staff.,C-1-3
C-1-3-12,C.1.3.12,Variation in function 'Supervision of teams and individuals',Any variation leading to the non or partial achievement of the goal of ensuring that work and workers are supervised in a range of different circumstances. ,C-1-3
C-1-3-13,C.1.3.13,Variation in function 'Carrying out trackside work',Any variation leading to the non or partial achievement of the goal of completing a wide range of work items during the trackside work; in a changing work environment; with various influencing factors and pressures.,C-1-3
C-1-3-0,C.1.3.0,Other,Any variation falling within the category ‘to maintain; repair and extend the infrastructure’; but not covered by any of the sub-categories coded above. A reporting of information in accordance with section 3.3 of Appendix A - Part C shall apply.,C-1-3
C-1-4,C.1.4,To operate a train in normal operational situations and situations where disruption or problems occur,An event falling within the C.1.4 sub-categories for which detailed information is not (yet) available.,C-1
C-1-4-1,C.1.4.1,Variation in function 'Ensure authority',Any variation leading to the non or partial achievement of the goal of confirming that there is authority to proceed (typically given through the signaller though may be given by other members of staff; e.g. during engineering),C-1-4
C-1-4-3,C.1.4.3,Variation in function 'Despatch train',Any variation leading to the non or partial achievement of the goal of despatching a train from the platform; safely and on-time.,C-1-4
C-1-4-3,C.1.4.3,Variation in function 'Maintain appropriate speed',Any variation leading to the non or partial achievement of the goal of ensuring movements at a speed that is safe for the vehicle in the current conditions and in accordance with the timetable.,C-1-4
C-1-4-4,C.1.4.4,Variation in function 'Ensure train integrity and load integrity on journey',Any variation leading to the non or partial achievement of the goal of ensuring that the integrity is maintained for the train and the load; without any detached vehicles (greater relevance for freight trains and loco-hauled passenger services),C-1-4
C-1-4-5,C.1.4.5,Variation in function 'Stopping train',Any variation leading to the non or partial achievement of the goal of bringing the train to a safe standpoint; either in a planned or unplanned manner.,C-1-4
C-1-4-6,C.1.4.6,Variation in function 'Management of train control systems',Any variation leading to the non or partial achievement of the goal of achieving safe and timely operation of control systems (includes responding to automatic warning system and train protection warning system and may also involve interaction with ERTMS).,C-1-4
C-1-4-7,C.1.4.7,Variation in function 'Ensure status of infrastructure',Any variation leading to the non or partial achievement of the goal of ensuring that the infrastructure is open and safe for own use and for others (e.g. identifying faults such as signal failures or line blockages on own or adjacent track).,C-1-4
C-1-4-8,C.1.4.8,Variation in function 'Operate level crossing',Any variation leading to the non or partial achievement of the goal of operating level crossings manually on site; to maintain separation between road and rail traffic.,C-1-4
C-1-4-9,C.1.4.9,Variation in function 'Warnings to other rail users',Any variation leading to the non or partial achievement of the goal of alerting people to potential risks from trains.,C-1-4
C-1-4-10,C.1.4.10,Variation in function 'Stabling of vehicles',Any variation leading to the non or partial achievement of the goal of enabling safe stabling of a vehicle (train needs to be stopped at an appropriate place in an appropriate condition).,C-1-4
C-1-4-11,C.1.4.11,Variation in function 'Provide information and support to passengers',Any variation leading to the non or partial achievement of the goal of ensuring that passengers are safe and kept informed of relevant safety information on their journey (applicable to passenger services during driver only operation; or in conjunction with train crew; it includes door operation).,C-1-4
C-1-4-0,C.1.4.0,Other,Any variation falling within the category ‘to operate a train in normal operational situations and situations where disruption or problems occur’; but not covered by any of the sub-categories coded above. A reporting of information in accordance with section 3.3 of Appendix A - Part C shall apply.,C-1-4
C-1-5,C.1.5,To control train movements in all operational circumstances,An event falling within the C.1.5 sub-categories for which detailed information is not (yet) available.,C-1
C-1-5-1,C.1.5.1,Variation in function 'Take up control of train movement duties',Any variation leading to the non or partial achievement of the goal of developing an understanding of the area that will be under the signallers’ control and assure staff awareness of relevant information on change of control of train movement duties.,C-1-5
C-1-5-2,C.1.5.2,Variation in function 'Handover of responsibility',Any variation leading to the non or partial achievement of the goal of responding to scenarios that require the handing over of responsibility for the control of movements (could include engineering; or to regional control centre).,C-1-5
C-1-5-3,C.1.5.3,Variation in function 'Monitor rail network',Any variation leading to the non or partial achievement of the goal of obtaining; recalling and regularly updating information; to maintain an accurate overview of the railway system status.,C-1-5
C-1-5-4,C.1.5.4,Variation in function 'Authorise train movements',Any variation leading to the non or partial achievement of the goal of giving permission to the operator of a train (or rail vehicle) to move within the infrastructure.,C-1-5
C-1-5-5,C.1.5.5,Variation in function 'Route / re-route passenger or freight service',Any variation leading to the non or partial achievement of the goal of responding to scenarios that require trains to be re-routed or travel to a different (unplanned) destination.,C-1-5
C-1-5-6,C.1.5.6,Variation in function 'Record train movements',Any variation leading to the non or partial achievement of the goal of keeping track of/recording train movements; in order to help updating a person's awareness of a situation; location; traffic; delays and disruptions and providing formal documentation of relevant details,C-1-5
C-1-5-7,C.1.5.7,Variation in function 'Anticipate delays or poor traffic flow',Any variation leading to the non or partial achievement of the goal of anticipating and being proactive regarding decision making; in order to minimise time pressure and ensure decision making is effective.,C-1-5
C-1-5-8,C.1.5.8,Variation in function 'Deal with irregular train movements',Any variation leading to the non or partial achievement of the goal of managing train movements in circumstances in which they fall outside of typical or routine patterns (includes scenarios such as requiring train to pass signal at danger; movements not protected by standard safety systems or train rescue),C-1-5
C-1-5-9,C.1.5.9,Variation in function 'Provide train identification',Any variation leading to the non or partial achievement of the goal of enabling operational staff to identify operational characteristics of a train.  This is achieved through provision of an identification number; which may need to be entered or altered in signalling / control systems in certain scenarios,C-1-5
C-1-5-10,C.1.5.10,Variation in function 'Manage implementation of emergency / temporary speed restrictions',Any variation leading to the non or partial achievement of the goal of imposing speed restrictions in a number of operating scenarios.,C-1-5
C-1-5-11,C.1.5.11,Variation in function 'Gather and communicate information',Any variation leading to the non or partial achievement of the goal of assimilating and sharing incoming information so that relevant staff have a common understanding of the network and the control of traffic.,C-1-5
C-1-5-12,C.1.5.12,Variation in function 'Control level crossing',Any variation leading to the non or partial achievement of the goal of controlling level crossings; to separate road and rail traffic; ensure safety of the public and safety of the railway service.,C-1-5
C-1-5-13,C.1.5.13,Variation in function 'Supervision of teams and individuals',Any variation leading to the non or partial achievement of the goal of ensuring that a second person (e.g. team member) can have an overview of the status of the system and the decisions/actions of individuals who are controlling the system (so that a team member can provide support if necessary; also supervisors),C-1-5
C-1-5-0,C.1.5.0,Other,Any variation falling within the category ‘to control train movements in all operational circumstances’; but not covered by any of the sub-categories coded above. A reporting of information in accordance with section 3.3 of Appendix A - Part C shall apply.,C-1-5
C-1-6,C.1.6,To prepare trains for service,An event falling within the C.1.6 sub-categories for which detailed information is not (yet) available.,C-1
C-1-6-1,C.1.6.1,Variation in function 'Assembling vehicle formation',Any variation leading to the non or partial achievement of the goal of ensuring that the correct vehicle configuration has been built (can apply to any type of vehicle (loco hauled; EMU; DMU) and to passenger or freight).,C-1-6
C-1-6-2,C.1.6.2,Variation in function 'Preparation of vehicles',Any variation leading to the non or partial achievement of the goal of ensuring that the train is ready for service (checking by those responsible for vehicle; e.g. driver; particularly doors to ensure ready for service).,C-1-6
C-1-6-3,C.1.6.3,Variation in function 'Take up driving duties',Any variation leading to the non or partial achievement of the goal of confirming that drivers are aware of service requirements and conditions that can affect service (drivers need to understand local or temporary operating conditions).,C-1-6
C-1-6-4,C.1.6.4,Variation in function 'Loading of freight',Any variation leading to the non or partial achievement of the goal of ensuring safe and efficient loading of freight.,C-1-6
C-1-6-0,C.1.6.0,Other,Any variation falling within the category ‘to prepare trains for service’; but not covered by any of the sub-categories coded above. A reporting of information in accordance with section 3.3 of Appendix A - Part C shall apply.,C-1-6
C-1-7,C.1.7,To support passenger movements and well-being at stations,An event falling within the C.1.7 sub-categories for which detailed information is not (yet) available.,C-1
C-1-7-1,C.1.7.1,Variation in function 'to support preparing stations for use by passengers',Any variation leading to the non or partial achievement of the goal of preparing the station and provide a clean and safe environment for passengers.,C-1-7
C-1-7-2,C.1.7.2,Variation in function 'to support assisting passengers',Any variation leading to the non or partial achievement of the goal of facilitating timely despatch of the train by assisting passengers (platform-train interface can be hazardous particularly for mobility impaired and / or high capacity / short dwell-time stations).,C-1-7
C-1-7-3,C.1.7.3,Variation in function 'to support control of crowds',Any variation leading to the non or partial achievement of the goal of maintaining safe movement of crowds in a range of operational circumstances. ,C-1-7
C-1-7-0,C.1.7.0,Other,Any variation falling within the category ‘to support passenger movements and well-being at stations’; but not covered by any of the sub-categories coded above. A reporting of information in accordance with section 3.3 of Appendix A - Part C shall apply.,C-1-7
C-1-8,C.1.8,"To check, inspect, maintain and repair rolling stock for service",An event falling within the C.1.8 sub-categories for which detailed information is not (yet) available.,C-1
C-1-8-1,C.1.8.1,Variation in function 'Identify rolling stock maintenance/repair requirements',Any variation leading to the non or partial achievement of the goal of determining the work that is needed.,C-1-8
C-1-8-2,C.1.8.2,Variation in function 'Allocate resources',Any variation leading to the non or partial achievement of the goal of ensuring that appropriate resources (people; equipment; materials; plant) are available for inspection/maintenance/repair of rolling stock.,C-1-8
C-1-8-3,C.1.8.3,Variation in function 'Prepare rolling stock for inspection/intervention and return rolling stock after inspections/intervention',Any variation leading to the non or partial achievement of the goal of preparing to undertake inspection/maintenance/repair of rolling stock (it includes for example dismantling to gain access for inspection; lifting and recovery of rolling stock). It also includes returning rolling stock after inspections/maintenance/repair.,C-1-8
C-1-8-4,C.1.8.4,Variation in function 'Inspect rolling stock',Any variation leading to the non or partial achievement of the goal of carrying out inspection of rolling stock. ,C-1-8
C-1-8-5,C.1.8.5,Variation in function 'Handover of responsibility',Any variation leading to the non or partial achievement of the goal of ensuring that appropriate action is taken on the basis of findings from an inspection. ,C-1-8
C-1-8-6,C.1.8.6,Variation in function 'Installation of components onto vehicles normally in service',Any variation leading to the non or partial achievement of the goal of installing components onto rolling stock.,C-1-8
C-1-8-7,C.1.8.7,Variation in function 'Maintenance/repair of components on vehicles normally in service',Any variation leading to the non or partial achievement of the goal of undertaking maintenance/repair of components on rolling stock. ,C-1-8
C-1-8-8,C.1.8.8,Variation in function 'Servicing of rolling stock',Any variation leading to the non or partial achievement of the goal of undertaking service of rolling stock. This includes fuelling; cleaning; restocking of consumables; providing water; examination; emptying of controlled emissions e.g. toilets; loading/unloading of commodities for vehicles.,C-1-8
C-1-8-0,C.1.8.0,Other,Any variation falling within the category ‘to check; inspect maintain and repair rolling stock for service’; but not covered by any of the sub-categories coded above. A reporting of information in accordance with section 3.3 of Appendix A - Part C shall apply.,C-1-8
C-1-9,C.1.9,To design a structural subsystem,An event falling within the C.1.9 sub-categories for which detailed information is not (yet) available.,C-1
C-1-9-1,C.1.9.1,Variation in function 'Define scope and purpose',Any variation leading to the non or partial achievement of the goal of developing a sufficient understanding of the system to ensure a proper performance of all subsequent safety life cycle activities.,C-1-9
C-1-9-2,C.1.9.2,Variation in function 'Establish system definition and application conditions ',Any variation leading to the non or partial achievement of the goals of the function: a) define the system; its mission profile and b) its boundary; c) establish the operational requirements influencing its characteristics; d) define the functions to be provided by the system; e) define the scope of system risk analysis; f) the initial Safety plan and g) the organisation for safety management of the system.,C-1-9
C-1-9-3,C.1.9.3,Variation in function 'Identify risks',Any variation leading to the non or partial achievement of the goals of the function:  a) identify and classify hazards associated with the system; b) select risk acceptance principles (RAP); c) define and apply risk acceptance criteria (RAC); d) assess risks; e) establish a process for on-going risk management.,C-1-9
C-1-9-4,C.1.9.4,Variation in function 'Specify system requirements',Any variation leading to the non or partial achievement of the goals of the function: a) specify the overall safety requirements for the system under consideration; b) specify the overall demonstration process and criteria for acceptance of safety of the system; c) provide a comprehensive and identified set of requirements for the subsequent life cycle phases; d) specify necessary monitoring requirements according to the process for analysing operation and maintenance performance arranged in the Safety Plan.,C-1-9
C-1-9-5,C.1.9.5,Variation in function 'Apportion system requirements (sub-system and component level)',Any variation leading to the non or partial achievement of the goals of the function: a) apportion the system safety requirements to the designated subsystems and/or components; b) design subsystems and components that work together as a system which fulfils the required functions at the system level; c) describe the safety requirements and specify the interfaces for all subsystems and components derived from the safety requirements; d) define the acceptance criteria to demonstrate fulfilment of the safety requirements for the system; subsystem; equipment in subsequent lifecycle phases; e) identify and evaluate the significance of the interactions between the subsystems.,C-1-9
C-1-9-0,C.1.9.0,Other,Any variation falling within the category ‘to design a structural subsystem’; but not covered by any of the sub-categories coded above. A reporting of information in accordance with section 3.3 of Appendix A - Part C shall apply.,C-1-9
C-1-10,C.1.10,To Install a structural subsystem,An event falling within the C.1.10 sub-categories for which detailed information is not (yet) available.,C-1
C-1-10-1,C.1.10.1,Variation in function 'Manufacture',Any variation leading to the non or partial achievement of the goals of the function: a) manufacture the subsystems and components; b) establish and apply safety-centred assurance arrangements.,C-1-10
C-1-10-2,C.1.10.2,Variation in function 'Integration',Any variation leading to the non or partial achievement of the goals of the function: a) assemble and install the integrated system; total combination of subsystems and components required to form the complete system; b) demonstrate that integrated system; subsystems and components work together as defined by the interfaces; c) demonstrate that integrated system; subsystems and components meet their safety requirements; d) initiate system support arrangements.,C-1-10
C-1-10-3,C.1.10.3,Variation in function 'Validate (incl. safety acceptance and commissioning)',Any variation leading to the non or partial achievement of the goals of the function: a) confirm by examination and provision of objective evidence that the system under consideration in combination with its Safety-Related Application Conditions complies with the safety requirements; b) confirm or update the safety case for the system under consideration; according to the results of the validation.,C-1-10
C-1-10-4,C.1.10.4,Variation in function 'Accept system (incl. entry in service)',Any variation leading to the non or partial achievement of the goals of the function: a) assess compliance of the total combination of subsystems; components; their interfaces and Safety-Related Application Conditions with the overall safety requirements; b) accept the system for entry into service.,C-1-10
C-1-10-5,C.1.10.5,Variation in function ‘Decommissioning’,Any variation leading to the non or partial achievement of the goal of controlling safety implication of system decommissioning and disposal tasks.,C-1-10
C-1-10-0,C.1.10.0,Other,Any variation falling within the category ‘to install a structural subsystem’; but not covered by any of the sub-categories coded above. A reporting of information in accordance with section 3.3 of Appendix A - Part C shall apply.,C-1-10
C-2,C.2,External events - Environmental,An event falling within the C.2 sub-categories for which detailed information is not (yet) available. Note: This category of event and its subtypes are allowed to be used as Category B events in the case there is no other possibility to describe properly the scenario which took place.,C
C-2-1,C.2.1,Earthquake,,C-2
C-2-2,C.2.2,Flooding,,C-2
C-2-3,C.2.3,Landslide,,C-2
C-2-4,C.2.4,Vegetation,,C-2
C-2-0,C.2.0,Other external events - Environmental,Any variation falling within the category ‘External events - Environmental’; but not covered by any of the sub-categories coded above. A reporting of information in accordance with section 3.3 of Appendix A - Part C shall apply.,C-2
C-3,C.3,External events - Security,An event falling within the C.3 sub-categories for which detailed information is not (yet) available. Note: This category of event and its subtypes are allowed to be used as Category B events in the case there is no other possibility to describe properly the scenario which took place.,C
C-3-1,C.3.1,Terrorism,,C-3
C-3-2,C.3.2,Assault,,C-3
C-3-3,C.3.3,Theft,,C-3
C-3-4,C.3.4,Arson,,C-3
C-3-5,C.3.5,Vandalism,,C-3
C-3-6,C.3.6,Cyber attack,,C-3
C-3-0,C.3.0,Other external events - Security,Any variation falling within the category ‘External events - Environmental’; but not covered by any of the sub-categories coded above. A reporting of information in accordance with section 3.3 of Appendix A - Part C shall apply.,C-3
C-0,C.0,Other un-coded category C event types,Any other category C event type not covered by any of the category or sub-categories coded above. A reporting of information in accordance with section 3.3 of Appendix A - Part C shall apply.,C
