Id,Code,Name,Definition,Broader,TopConceptOf
SF-3-2,SF.3.2,Competence,Refers to the dedicated management system in place to manage the ability of staff to perform activities to the standards expected in employment; with a combination of practical and thinking skills; experience and knowledge. Competency means the skills (technical; functional and non-technical) and underpinning knowledge that enable someone to demonstrate a certain level of competence. A competence management system covers the identification of the competencies required for safety-related tasks; the selection principles (basic educational level; psychological and physical fitness required); the initial training; experience and qualification; and the ongoing training and periodic update of existing competencies; the periodic assessment of competence and checks of psychological and physical; fitness; to ensure that qualifications and skills are maintained over time. It also includes any specific training in relevant parts of the safety management system in order to deliver safety-related tasks. The organisation shall provide training and all the records; regularly review; audit; and change the training when necessary. Back to work arrangements shall also be in place.,SF-3,
SF-3-3,SF.3.3,Awareness,Refers both what is awareness and how it is organised. Awareness is attained when staff understand their responsibilities and how their actions contribute to the achievement of the organisation’s objectives. It is organised by the top management who shall ensure that they and their staff having a role that affects safety are aware of the relevance; importance and consequences of their activities and how they contribute to the correct application and the effectiveness of the safety management system; including the achievement of safety objectives.,SF-3,
SF-3-4,SF.3.4,Information and communication,Refers to the safety related information at different levels; communicated at the right time and to the right people including the external interested parties; with adequate channels; and with several quality criteria (relevant; complete; understandable; understood; etc.). It includes the management of this activity with the identification; receipt; processing; etc. of safety-related information.,SF-3,
SF-3-5,SF.3.5,Documented information,Refers to all the safety-related information required to be created; controlled; updated and maintained by an organisation; its formats; and the media on which it is contained. It concerns the description of the safety management system: processes and activities related to safety of rail operations and associated responsibilities; their interaction; the description of how they are implemented; including all contractual arrangements; etc. It also concerns the submission of an annual safety report to the relevant authorities.,SF-3,
SF-3-6,SF.3.6,Integration of human and organizational factors,Refers to a systematic approach to integrating human and organisational factors within the safety management system. It includes the development of a strategy and the use of expertise and recognised methods from the field of human and organisational factors. It includes addressing the risks associated with the design and use of equipment; tasks; working conditions and organisational arrangements; taking into account human capabilities as well as limitations; and the influences on human performance. The human and organisational factors are all the human performance characteristics and organisational aspects that must be considered to ensure the lifelong safety and effectiveness of a system or organisation.,SF-3,
SF-3-0,SF.3.0,Other support,Any systemic factor falling within the category ‘Support’; but not covered by any of the sub-categories coded above.  A reporting of information in accordance with section 3.3 of Appendix A - Part C shall apply.,SF-3,
SF-4,SF.4,Operation,Category with systemic factors that develop; implement and apply the processes and measures as planned; in accordance with the organisation’s safety policy and the organisation’s objectives.,,SystemicFactors
SF-4-1,SF.4.1,Operational planning and control,Refers to the ultimate aim to plan safe operation: the relevant processes of the safety management system should support the control of operational risks including making sure that staff understand their roles; the risks they face; what the control measures are and that they have the appropriate competence and training to perform their tasks; consistently with the applicable procedures for the service to be delivered; in normal; degraded and emergency conditions.. It also specifically refers to the assurance that the vehicles or the infrastructure is/are operated safely in accordance with the applicable requirements under different operating conditions (i.e. normal; degraded and emergency); including the use of assets for testing purposes (e.g. testing of running behaviours of vehicles before authorisation is granted) and in exceptional circumstances.,SF-4,
SF-4-2,SF.4.2,Asset Management,Refers to the approach used by an organisation to ensure that physical assets remain safe; fit-for-purpose; and commercially viable from design and construction; throughout its life cycle; to decommissioning; and fulfil the human factors requirements in all phases of its life cycle. It also covers where relevant the supply of maintenance; the control of information and communication for the safe management of the assets within the organisation or with external entities; and the traceability of all necessary information.,SF-4,
SF-4-3,SF.4.3,"Contractors, partners and suppliers",Refers to the identification and control safety risks arising from outsourced activities; including operations or cooperation with contractors; partners and suppliers. It includes the need for defining the criteria for the selection of the contractors; partners and suppliers and the contract requirements they have to meet. It also includes the need for monitoring the safety performance of all activities and operations of contractors; partners and suppliers to ensure that they comply with the requirements set out in the contract; and their awareness of safety risks they have for the organisation's operations.,SF-4,
SF-4-4,SF.4.4,Management of change,Refers to the need for an organisation to implement and control the changes it makes to the safety management system to maintain or improve the safety performance. This includes decisions at the different stages of the change management and the subsequent review of safety risks.,SF-4,
SF-4-5,SF.4.5,Emergency management,Refers to the identification of the emergency situations and associated timely measures to be taken to manage them and to re-establish normal operating conditions. It includes all the plans; information and alerts being prepared; updated and continuously available; by internal and other external interested parties. It includes that tests or simulation regularly made; among other to ensure that competent staff are in charge with adequate communication and language skills; and to ensure a rapid and efficient coordination between all RUs; IMs and emergency services.,SF-4,
SF-4-0,SF.4.0,Other operation,Any systemic factor falling within the category ‘Operation’; but not covered by any of the sub-categories coded above.  A reporting of information in accordance with section 3.3 of Appendix A - Part C shall apply.,SF-4,
SF-5,SF.5,Performance evaluation,A category of systemic factors that allow the monitoring and auditing of implemented processes in relation to objectives; planning and resources; and the reporting of their results; thus making managerial review possible.,,SystemicFactors
SF-5-1,SF.5.1,Monitoring,Refers to the arrangements put in place by railway undertakings; infrastructure managers or entities in charge of maintenance to check if their management system is correctly applied and effective. When it is not the case; the organisation shall identify; implement and evaluate the effectiveness of the corrective measures. It shall also regularly monitor at all levels within the organisation the performance of safety-related tasks and intervene if these tasks are not being properly performed.,SF-5,
SF-5-2,SF.5.2,Internal auditing,Refers to the independent; impartial and transparent way of collecting and analysing information for the purpose of an organisation's control activities. It is a systematic and documented process for obtaining audit evidence and evaluating it objectively to determine the extent to which the audit criteria are fulfilled. Among other requirements; the organisation needs to put in place a schedule of planned audits; an identification – selection – and training of competent auditors; and for each audit an identification of the need for corrective or improvement measures and their completion and effectiveness.,SF-5,
SF-5-3,SF.5.3,Management review,Refers to a specific and regular series of top management activities which consist in reviewing the continuing adequacy and effectiveness of the safety management system. It needs among others to consider the outputs of previous review; the changing internal and external contexts; the organisation’s safety performance; and any recommendations for improvement. Based on the outputs of its management review; the top management shall take overall responsibility for the planning and implementation of needed changes to the safety management system.,SF-5,
SF-5-0,SF.5.0,Other performance evaluation,Any systemic factor falling within the category ‘Performance evaluation’; but not covered by any of the sub-categories coded above. A reporting of information in accordance with section 3.3 of Appendix A - Part C shall apply.,SF-5,
SF-6,SF.6,Improvement,Category with systemic factors that makes recurrent the activities enhancing the safety performance and ensuring an improvement of the safety management system.,,SystemicFactors
SF-6-1,SF.6.1,Learning from accidents and incidents,Refers to the organisation's use of investigation information to review risk assessment; to learn lessons to improve safety and; where appropriate; to take corrective and/or improvement action. This includes the need to report; record; investigate and analyse to determine the causes of accidents and incidents related to the organisation's railway operations. These causes refer to causal factors; contributing factors and systemic factors. This factor also refers to the evaluation and implementation (if appropriate or mandated) of recommendations from the national safety authority; the national investigating body; and from other industry/internal investigations; or relevant reports from other interested parties such as railway undertakings; infrastructure managers; entities in charge of maintenance and railway vehicle keepers.,SF-6,
SF-6-2,SF.6.2,Continual improvement,Refers to three series of activities in the context of a safety management system. First; the organisation shall continually improve the adequacy and effectiveness of its safety management system. Second; the organisation shall provide means to motivating staff and other interested parties to be active in improving safety as part of its organisational learning. And third; it shall provide a strategy to continually improve its safety culture; relying on the use of expertise and recognised methods to identify behavioural issues affecting the different parts of the safety management system and to put in place measures to address these.,SF-6,
SF-6-0,SF.6.0,Other improvement,Any systemic factor falling within the category ‘Improvement’; but not covered by any of the sub-categories coded above. A reporting of information in accordance with section 3.3 of Appendix A - Part C shall apply.,SF-6,
